entity,coupled,degree,average-revs
plugins/jasperreports/pom.xml,plugins/sitegraph/pom.xml,85,74
plugins/codebehind/pom.xml,plugins/jasperreports/pom.xml,85,72
plugins/config-browser/pom.xml,plugins/spring/pom.xml,85,71
plugins/jsf/pom.xml,plugins/spring/pom.xml,85,70
core/src/main/java/org/apache/struts2/views/jsp/ui/AutocompleterTag.java,core/src/main/resources/template/ajax/autocompleter.ftl,85,11
core/src/main/java/org/apache/struts2/views/jsp/ui/AutocompleterTag.java,core/src/test/resources/org/apache/struts2/views/jsp/ui/Autocompleter-1.txt,85,11
core/src/site/resources/tags/inputtransferselect.html,core/src/site/resources/tags/select.html,85,7
plugins/spring/pom.xml,plugins/struts1/pom.xml,84,74
archetypes/struts2-archetype-convention/src/main/resources/archetype-resources/pom.xml,archetypes/struts2-archetype-starter/src/main/resources/archetype-resources/pom.xml,84,13
plugins/sitemesh/pom.xml,plugins/spring/pom.xml,83,74
plugins/plexus/pom.xml,plugins/spring/pom.xml,83,72
core/src/main/java/org/apache/struts2/views/jsp/ui/AutocompleterTag.java,core/src/test/java/org/apache/struts2/views/jsp/ui/AutocompleterTest.java,83,12
plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/SubmitAjaxTest.java,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/href-1.txt,83,6
core/src/test/resources/org/apache/struts2/views/jsp/ui/Submit-1.txt,core/src/test/resources/org/apache/struts2/views/jsp/ui/Submit-5.txt,83,6
core/src/test/java/org/apache/struts2/views/jsp/ui/DivTest.java,core/src/test/resources/org/apache/struts2/views/jsp/ui/div-1.txt,83,6
plugins/dojo/src/main/java/org/apache/struts2/dojo/views/jsp/ui/AutocompleterTag.java,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/Autocompleter-1.txt,83,6
apps/showcase/src/main/webapp/tiles/body.jsp,apps/showcase/src/main/webapp/tiles/layout.jsp,83,6
plugins/dojo/src/main/resources/template/ajax/ajax-common.ftl,plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/SubmitAjaxTest.java,83,6
plugins/dojo/src/main/java/org/apache/struts2/dojo/views/jsp/ui/SubmitTag.java,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/div-1.txt,83,6
core/src/test/resources/org/apache/struts2/views/jsp/ui/Submit-1.txt,core/src/test/resources/org/apache/struts2/views/jsp/ui/Submit-3.txt,83,6
